baseball,2
uni-dimensional,0
gas,2
icily,4
flopping,1
cat-and-mouse,4
seeing,2
Cherish,3
achievements,3
Yet,1
find,2
C'mon,2
absurdly,1
organize,2
counterproductive,1
bottomlessly,0
screeching-metal,2
Cherry,2
Lang,2
twisty,3
psychologically,2
10,000,2
substituting,2
got,3
terrifically,4
beginnings,3
overflows,4
Hunk,4
alluring,3
cannier,2
beg,2
aliens,2
reproduce,1
bomb,0
strikingly,2
hastily,1
psychodrama,3
flavorless,1
exciting,4
than-likely,2
clocks,2
demand,2
love,3
recreational,2
waterlogged,1
civic,2
transformation,2
projection,2
hate,1
behaving,2
secondary,3
complaining,1
stringently,2
hotter,2
elicits,3
bucked,4
updated,2
currently,2
Drumline,3
wishy-washy,1
talky,1
replaced,2
uphill,2
Gussied,2
recycles,2
evaporates,1
unfold,2
debris,2
assuming,2
turntablists,3
de,3
proficiency,3
me,2
bio-doc,2
flops,1
self-congratulation,1
holes,1
obsessed,2
sprouts,1
boilerplate,2
paradoxically,2
enacted,1
moments,3
Armenians,2
off-handed,2
concerning,2
Truffaut,3
dwarf,2
efforts,2
Project,2
unconcerned,1
rehashes,1
Her,2
Villeneuve,2
affectation-free,3
129-minute,2
mechanical,2
fustily,2
Upon,2
Invincible,2
tons,2
Generations,2
shockwaves,3
experiments,2
gut-wrenching,3
York,2
treacly,2
Kahlo,2
Laconic,2
offset,2
television,2
crowd,2
ambitious,3
after-hours,2
professional,2
Why,2
bewilderingly,4
Duvall,3
thumpingly,2
2001,0
Bai,2
Cunningham,2
spaces,3
Animated,1
sophisticates,2
pristine,3
puppets,1
Brussels,1
forceful,3
manipulativeness,2
freedom,3
ascension,3
Expanded,2
'd,2
gloss,2
Haunted,2
structured,3
cheap,1
surefire,3
appreciation,2
low-rent,1
Anthony,2
husband-and-wife,1
investment,2
grave,1
judge,2
Israeli,2
Phantom,2
preferable,2
battered,2
Quotations,2
careers,2
corrupt,2
small,3
ghetto,2
discouraging,1
explosions,2
White,2
east,2
Mendes,3
merge,2
self-critical,2
Begley,2
relationship,2
injuries,2
grotesquely,3
pairing,2
yawning,1
Lacking,1
hands-on,3
Louiso,1
winner,3
severely,2
numbered,2
eat,2
tutorial,2
51st,2
Waltz,2
infinite,2
grimy,2
Jackass,1
wonder,2
well-paced,4
terrible,0
thousand-times,2
setups,0
close,2
laborious,1
Strangers,0
Connoisseurs,2
space-based,2
occurrences,2
hat-in-hand,2
hollowness,1
dozing,2
customarily,2
excellence,2
Tango,2
dances,2
truly,3
experiences,2
middle,2
career-best,4
Beijing,2
boomer,2
demonstrates,2
embedded,3
codes,2
skidding,2
bow-wow,2
long-lived,3
protagonist,2
tasteful,3
