one of the,0.312480274406
the film 's,-0.117409636625
, but it,0.263606198532
, it 's,-0.0552834856765
, and the,0.25909082421
to be a,0.093967837299
of the film,-0.105778909722
the movie 's,-0.273868119654
the kind of,0.171300214028
a movie that,0.10968868597
that it 's,-0.0990827188884
it 's a,0.0184490429877
the film is,0.061491722513
, the film,0.21804424217
most of the,-0.0928038941034
of the year,0.50293657248
a film that,-0.209766535165
but it 's,0.131513766486
of the most,0.253517805789
It 's a,0.0587380344011
, but the,-0.189143170708
some of the,0.0671319351729
a lot of,-0.00234297677053
of the movie,-0.0345410741833
as well as,0.679568277584
in the film,-0.00944933313367
as it is,0.109052254697
one of those,-0.0268865723847
more than a,-0.209373062793
, and a,0.286883123892
the movie is,-0.285427157198
of a movie,-0.309760175388
a sense of,0.326343770526
that does n't,-0.208996748386
of its own,-0.670184771041
if it were,-0.681603283802
's hard to,-0.571069840908
, the movie,0.00925463585152
it 's not,-0.535798255122
it does n't,-0.0552211284751
of the best,0.886580005555
is one of,0.286240717362
could have been,-0.165699202131
of the characters,-0.623014527335
the world 's,0.283987579259
the end of,0.183659448801
the big screen,-0.188442622988
out of the,-0.211433528257
the fact that,-0.431228543855
any of the,-0.103698935464
in the end,0.161738215878
The film 's,-0.242517591342
It 's not,-0.336012753742
sense of humor,0.174702866542
is that it,-0.0961982117062
of the world,-0.0689322293061
have been a,0.080981684828
film that is,0.734341170253
a series of,-0.120386591071
there 's no,-0.52336191172
the film ,,0.0814277808988
look at the,0.595164791152
to see it,-0.133183052912
the power of,0.482609378676
in favor of,-0.443514586787
as if it,0.116773585138
the level of,-0.399335932542
to care about,-0.441785974526
it is a,0.0952643386797
in the way,0.126629291765
does n't have,-0.626926936583
out to be,0.00114292422509
in its own,-0.27063360539
wants to be,-0.653610224235
supposed to be,-0.400609192674
may not be,0.130736031296
is n't a,-0.452677275635
One of the,0.331747651619
with all the,0.169080910225
kind of movie,-0.0983874334678
it would be,-0.558493356153
is a movie,0.111296114658
The movie is,-0.407768122667
the edge of,0.238900190211
as one of,0.0720234509671
a good time,0.893576425177
a couple of,-0.0539954189513
, this is,0.371027352858
, but also,0.546131525214
to make the,-0.893537418451
, which is,-0.307140656888
much of a,-0.337923677192
but it is,0.191155956798
to make a,-0.109859625407
this is a,0.278688255669
that he 's,0.527149065728
, and it,-0.0028988910965
to be the,-0.173050148875
the year 's,-0.667662367704
World War II,0.0652400796795
, or even,-0.160832630859
, but not,-0.244653518561
up to the,0.487179651428
to sit through,-1.00949704422
the rest of,-0.0203104474685
care about the,0.386485837906
on the screen,0.115089506711
in which the,0.150682480077
has all the,-0.552007583095
film with a,0.245449795328
even if it,0.163893376338
should have been,-0.467594341184
of the story,-0.107636075652
in the middle,0.465549877881
a little too,-0.412552032999
, in the,0.0529333749356
's not a,-0.907355115698
want to see,-0.274422753783
the end ,,-0.388867589511
you do n't,-0.00885945135509
in the world,0.33392615827
feel like a,0.506162178297
to look at,0.171252934988
the same way,-0.121563262501
the best of,0.609459746342
the point of,-0.693115307953
the first film,-0.164647123163
, with a,0.161138145459
'' and ``,-0.407100902064
the characters in,-0.0928062675527
of the plot,-0.31873186015
none of the,-0.489432658515
The film is,0.322945377269
Reign of Fire,0.00944486397691
This is a,0.496487507892
you 'd expect,-0.35862729225
its characters ,,-0.183840897259
in the face,0.102256953057
and a half,0.419574420334
a lot more,-0.305951568027
would have been,-0.341340413995
than it is,0.225680181701
plays like a,-0.50817994272
looking for a,-0.341024491207
it 's also,-0.201809911452
at the same,-0.648367892394
as long as,-0.557516234638
a young woman,0.729101944964
, to be,-0.55454015572
that is n't,0.0166904711254
something of a,0.246622492485
so much as,-0.470639687223
of your seat,0.911521506807
in the theater,-0.48215842233
impossible to care,0.0592513319069
for a movie,-0.505153034769
at the end,-0.273609235405
and it 's,0.358410897665
a bit of,0.606496891546
, even though,0.126145128347
'' or ``,-0.0980951930734
point of view,0.0986702173426
on its own,-0.367595962603
it wants to,-0.150924788043
is the kind,-0.172225667944
in a movie,-0.189429007456
end of the,-0.294845851874
a whole lot,-0.554580925245
The Full Monty,0.0652110029379
If you 're,-0.124486017856
to see a,0.689343752413
the story 's,-0.309200633661
of the worst,-1.87807451075
not to be,0.311720173749
it is n't,-0.520235670782
to find a,0.250334939161
if you 're,-0.284993095682
do n't care,-0.765615310832
a bunch of,-0.348694361739
I ca n't,-0.40409442712
, at least,0.0609359148678
the most part,-0.195139575743
that the film,0.341592334096
that it is,-0.398812921366
movie with a,0.5898388477
might have been,-0.379586692412
in front of,0.492590581764
a story that,0.0439483377697
to make it,-0.283895359007
the same time,0.826445363752
the film to,-0.553392706449
movie that is,0.230623712767
movie , but,-0.119858673766
it 's hard,0.129191765267
in love with,0.366087970975
, you 'll,0.13438004992
, even if,0.714571159855
wo n't be,-0.145597774491
what 's going,-0.10167365501
of a man,0.183133853296
is supposed to,-0.0233294499067
by the time,-0.230164611806
away from the,0.171545019482
you 've seen,-0.0991520676774
would be a,-0.991357202309
when you 're,-0.477520655561
to do with,-0.423632534921
they do n't,-0.328156001826
on the big,0.790320425282
make the most,1.10108309845
in the right,0.676792615152
for a film,-0.350540518258
a film about,0.0611051666807
I 've seen,0.0553431741496
, really ,,0.085059206788
, but there,-0.130317483477
, and even,-0.345100335158
you wo n't,0.594716035731
the characters ',-0.380448071302
that 's been,-0.151758771305
seems to have,-0.305642846114
part of the,0.559353933396
is funny ,,1.07551677928
feels like a,-0.782994693621
and the film,-0.165140705753
to keep it,0.0359184891911
there 's a,0.00269946265062
of a film,0.0197968591394
little more than,-0.93932255844
film is a,0.107765858937
-- and ,,0.498350947329
, it is,0.197168232414
to the point,-0.464846181691
this movie ,,-0.263335419426
portrait of a,0.771924307849
off as a,-0.58043379272
of a good,-0.117182689043
much of the,-0.230178540363
in spite of,0.507700956881
in all its,-0.0158321675339
going to be,0.174489606518
for the film,0.354298428266
film that 's,0.367932571436
comes off as,-0.432292669493
ca n't help,0.316063830568
a matter of,-0.233715099777
The movie 's,-0.282517854812
, if you,-0.0307942711044
, but that,-0.160591277478
's going on,-0.433192388586
that made the,0.284851086334
in the same,0.232372322784
in the movie,-0.269484417809
have a good,-0.0119781317042
at times ,,-0.0498800625065
There 's a,-0.412395269043
, as if,-0.353263384784
you 're in,0.148085038706
to see the,-0.0413008827795
this movie is,-0.288332690991
thinks it is,-0.383048812339
the movie ,,0.0395031745111
the middle of,-0.213530657492
the film .,0.276029792364
that the movie,-0.569995942471
look at a,0.303988068627
just does n't,-0.733652202348
it 's the,0.166116260449
in the first,-0.49154576665
in a world,0.418579553157
for that matter,0.160852947154
enough to make,0.198778066444
beautiful , self-satisfied,0.89317850011
a way that,0.0646984221414
a movie about,0.205638008603
a kind of,-0.107873180868
Fat Greek Wedding,-0.034167193452
to have been,-0.505938957863
the way of,-0.432137958203
the face of,0.204884927131
not to mention,0.410925582909
it comes to,-0.310684982142
in this film,-0.374085198189
does n't make,-0.382465235455
at least a,0.620615108484
as much as,-0.808803122595
all the way,0.163321935474
90 minutes of,-0.629950109981
, with the,-0.0987440112043
, for that,-0.780960858391
, at its,-0.0379766547676
've ever seen,-0.259996456023
you want to,-0.366097477909
we do n't,-0.0710308896911
up in the,0.289186033017
this kind of,-0.399619750683
the script 's,-0.632771548597
of his own,0.319303658753
most of its,0.238470242029
